"STATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","2015-01-01","14.32","0.00","0.0","26","33","22",,,,,,,,
"USW00014739","2015-01-02","12.75","0.00","0.0","34","41","31",,,,,,,,
"USW00014739","2015-01-03","10.29","0.62","1.4","28","37","22","    1",,,"    1",,,,
"USW00014739","2015-01-04","8.28","0.57","0.0","38","52","35","    1","    1",,,,,,
"USW00014739","2015-01-05","22.15","0.00","0.0","40","50","17",,,,,,,,
"USW00014739","2015-01-06","8.72","0.02","0.2","17","18","15",,,,,,,,
"USW00014739","2015-01-07","15.66","0.00","0.0","19","26","4","    1",,,,,,"    1",
"USW00014739","2015-01-08","14.32","0.00","0.0","8","19","-1",,,,,,,,
"USW00014739","2015-01-09","14.32","0.01","0.2","23","30","19","    1",,,,,,,
"USW00014739","2015-01-10","11.63","0.00","0.0","22","24","17",,,,,,,,
"USW00014739","2015-01-11","9.62","0.00","0.0","21","33","15",,,,,,,,
"USW00014739","2015-01-12","9.40","0.20","0.0","35","38","33","    1",,,"    1",,,,
"USW00014739","2015-01-13","10.51","0.00","0.0","27","35","15",,,,,,,,
"USW00014739","2015-01-14","8.72","0.00","0.0","18","25","14","    1",,,,,,,
"USW00014739","2015-01-15","9.62","0.12","0.8","26","31","25","    1",,,,,"    1","    1",
"USW00014739","2015-01-16","15.66","0.00","0.0","28","38","15",,,,,,,,
"USW00014739","2015-01-17","10.96","0.00","0.0","16","22","9",,,,,,,,
"USW00014739","2015-01-18","9.84","0.15","0.0","32","51","20","    1",,,,,,,
"USW00014739","2015-01-19","15.21","0.00","0.0","42","46","32",,,,,,,,
"USW00014739","2015-01-20","13.42","0.00","0.0","33","39","27",,,,,,,,
"USW00014739","2015-01-21","6.71","0.00","0.0","27","34","22",,,,,,,,
"USW00014739","2015-01-22","6.93","0.00","0.0","32","37","29",,,,,,,,
"USW00014739","2015-01-23","10.29","0.00","0.0","31","37","24",,,,,,,,
"USW00014739","2015-01-24","10.29","0.71","5.1","32","34","31","    1","    1",,,,"    1",,
"USW00014739","2015-01-25","14.32","0.00","0.0","33","38","19",,,,,,,,
"USW00014739","2015-01-26","16.33","0.10","2.3","20","29","11","    1",,,,,,"    1",
"USW00014739","2015-01-27","22.15","0.95","22.1","18","19","14","    1","    1",,,,,,"    1"
"USW00014739","2015-01-28","12.75","0.01","0.2","17","24","13",,,,,,,,
"USW00014739","2015-01-29","4.25","0.00","0.0","21","32","10",,,,,,,,
"USW00014739","2015-01-30","11.86","0.06","0.7","31","34","19","    1",,,,,,,"    1"
"USW00014739","2015-01-31","21.92","0.05","1.3","18","21","11","    1","    1",,,,,"    1","    1"
"USW00014739","2015-02-01","11.86","0.00","0.0","19","30","12",,,,,,,,
"USW00014739","2015-02-02","18.12","0.78","16.2","20","31","10","    1","    1",,,,,"    1","    1"
"USW00014739","2015-02-03","12.97","0.00","0.0","13","22","6",,,,,,,"    1","    1"
"USW00014739","2015-02-04","9.40","0.01","0.0","23","38","14",,,,,,,,
"USW00014739","2015-02-05","14.76","0.09","0.8","31","36","7","    1",,,,,,"    1",
"USW00014739","2015-02-06","11.41","0.00","0.0","12","21","5",,,,,,,,
"USW00014739","2015-02-07","10.74","0.07","0.9","23","29","16","    1",,,,,,,
"USW00014739","2015-02-08","13.42","0.37","7.4","26","29","13","    1",,,,,,,
"USW00014739","2015-02-09","14.99","0.88","14.8","17","25","14","    1","    1",,,,,,"    1"
"USW00014739","2015-02-10","11.18","0.05","0.7","20","30","14","    1",,,,,,,"    1"
"USW00014739","2015-02-11","11.63","0.01","0.5","22","25","14","    1",,,,,,"    1","    1"
"USW00014739","2015-02-12","5.37","0.03","1.0","21","30","16","    1",,,,,,"    1",
"USW00014739","2015-02-13","15.43","0.00","0.0","16","22","7",,,,,,,"    1",
"USW00014739","2015-02-14","9.62","0.23","3.2","13","30","3","    1",,,,,,,
"USW00014739","2015-02-15","20.80","0.39","13.0","19","20","-2","    1","    1",,,,,,"    1"
"USW00014739","2015-02-16","19.69","0.00","0.0","6","19","-3",,,,,,,,"    1"
"USW00014739","2015-02-17","7.83","0.02","0.6","15","23","10",,,,,,,,
"USW00014739","2015-02-18","5.37","0.01","0.0","23","29","17","    1",,,,,,"    1",
"USW00014739","2015-02-19","14.09","0.06","2.4","25","30","10","    1",,,,,,"    1","    1"
"USW00014739","2015-02-20","18.57","0.00","0.0","11","20","5",,,,,,,,
"USW00014739","2015-02-21","11.18","0.17","1.1","17","34","4","    1",,,,,,,
"USW00014739","2015-02-22","5.14","0.11","0.1","33","39","28","    1",,,,,,,
"USW00014739","2015-02-23","14.54","0.00","0.0","27","33","4",,,,,,,,
"USW00014739","2015-02-24","9.40","0.00","0.0","9","19","2","    1",,,,,,,
"USW00014739","2015-02-25","10.74","0.07","1.9","23","35","14","    1",,,,,,"    1",
"USW00014739","2015-02-26","9.17","0.02","0.2","21","22","17","    1",,,,,,"    1",
"USW00014739","2015-02-27","8.28","0.00","0.0","20","27","15",,,,,,,,
"USW00014739","2015-02-28","8.72","0.00","0.0","21","31","12",,,,,,,,
"USW00014739","2015-03-01","6.04","0.17","1.9","23","30","12","    1",,,,,,,
"USW00014739","2015-03-02","14.32","0.01","0.2","30","37","26","    1",,,,,,,
"USW00014739","2015-03-03","10.07","0.26","1.6","26","33","20","    1",,,"    1",,"    1",,
"USW00014739","2015-03-04","11.41","0.02","0.0","36","43","33","    1",,,,,"    1",,
"USW00014739","2015-03-05","11.86","0.00","0.0","33","39","18",,,,,,,,
"USW00014739","2015-03-06","10.51","0.00","0.0","18","24","9",,,,,,,,
"USW00014739","2015-03-07","10.74","0.00","0.0","25","38","17",,,,,,,,
"USW00014739","2015-03-08","8.50","0.00","0.0","33","42","24",,,,,,,,
"USW00014739","2015-03-09","10.07","0.00","0.0","37","48","26",,,,,,,,
"USW00014739","2015-03-10","6.71","0.06","0.0","39","48","31","    1",,,,,,,
"USW00014739","2015-03-11","11.63","0.01","0.0","46","57","37","    1","    1",,,,,,
"USW00014739","2015-03-12","17.00","0.00","0.0","39","43","25",,,,,,,,
"USW00014739","2015-03-13","10.51","0.00","0.0","30","40","24",,,,,,,,
"USW00014739","2015-03-14","8.05","0.80","0.0","34","39","31","    1","    1",,,,,,
"USW00014739","2015-03-15","13.87","0.27","2.9","36","41","27","    1","    1",,,,,,
"USW00014739","2015-03-16","8.72","0.00","0.0","33","45","26",,,,,,,,
"USW00014739","2015-03-17","14.32","0.14","0.0","39","51","28","    1",,,"    1",,,,
"USW00014739","2015-03-18","21.70","0.00","0.0","27","30","22",,,,,,,,
"USW00014739","2015-03-19","15.66","0.00","0.0","25","34","19",,,,,,,,
"USW00014739","2015-03-20","3.58","0.05","0.5","27","32","23","    1",,,,,,,
"USW00014739","2015-03-21","6.49","0.09","1.2","30","41","28","    1",,,,,,,
"USW00014739","2015-03-22","17.90","0.00","0.0","32","39","21",,,,,,,,
"USW00014739","2015-03-23","15.21","0.00","0.0","24","33","18",,,,,,,,
"USW00014739","2015-03-24","7.61","0.00","0.0","27","35","20",,,,,,,,
"USW00014739","2015-03-25","8.95","0.04","0.0","35","49","28",,,,,,,,
"USW00014739","2015-03-26","8.72","0.80","0.0","44","56","38","    1","    1",,,,,,
"USW00014739","2015-03-27","5.37","0.21","0.0","42","44","37","    1",,,,,,,
"USW00014739","2015-03-28","12.53","0.12","0.3","36","40","30","    1",,,,,,,
"USW00014739","2015-03-29","9.40","0.00","0.0","33","42","26",,,,,,,,
"USW00014739","2015-03-30","12.97","0.00","0.0","36","45","30",,,,,,,,
"USW00014739","2015-03-31","12.30","0.00","0.0","42","50","37",,,,,,,,
"USW00014739","2015-04-01","10.07","0.00","0.0","39","47","30",,,,,,,,
"USW00014739","2015-04-02","12.75","0.00","0.0","43","61","30",,,,,,,,
"USW00014739","2015-04-03","12.08","0.03","0.0","54","59","45","    1",,,,,,,
"USW00014739","2015-04-04","16.33","0.39","0.0","47","52","36","    1","    1","    1",,,,,
"USW00014739","2015-04-05","14.99","0.00","0.0","39","49","32",,,,,,,,
"USW00014739","2015-04-06","8.72","0.00","0.0","39","42","36",,,,,,,,
"USW00014739","2015-04-07","8.05","0.03","0.0","39","42","36","    1",,,,,,,
"USW00014739","2015-04-08","16.78","0.26","0.0","37","42","34","    1",,,"    1","    1",,,
"USW00014739","2015-04-09","16.55","0.09","0.0","35","37","33","    1",,,,,,,
"USW00014739","2015-04-10","8.05","0.09","0.0","40","55","36","    1",,,,,,,
"USW00014739","2015-04-11","17.00","0.00","0.0","53","57","42",,,,,,,,
"USW00014739","2015-04-12","8.95","0.00","0.0","51","68","39",,,,,,,,
"USW00014739","2015-04-13","12.30","0.00","0.0","56","69","41",,,,,,,,
"USW00014739","2015-04-14","10.96","0.01","0.0","59","65","52",,,,,,,,
"USW00014739","2015-04-15","11.63","0.00","0.0","59","67","50",,,,,,,,
"USW00014739","2015-04-16","10.07","0.00","0.0","51","60","41",,,,,,,,
"USW00014739","2015-04-17","13.20","0.06","0.0","54","65","47",,,,,,,,
"USW00014739","2015-04-18","8.72","0.00","0.0","54","60","43",,,,,,,,
"USW00014739","2015-04-19","11.41","0.00","0.0","46","50","41",,,,,,,,
"USW00014739","2015-04-20","13.87","0.61","0.0","43","51","41","    1",,,,,,,
"USW00014739","2015-04-21","9.62","0.54","0.0","56","65","46","    1","    1","    1",,,,,
"USW00014739","2015-04-22","14.76","0.00","0.0","56","67","43",,,,,,,,
"USW00014739","2015-04-23","15.88","0.00","0.0","47","51","38",,,,,,,,
"USW00014739","2015-04-24","15.43","0.00","0.0","43","50","37",,,,,,,,
"USW00014739","2015-04-25","10.51","0.00","0.0","45","56","36",,,,,,,,
"USW00014739","2015-04-26","6.49","0.00","0.0","47","56","43",,,,,,,,
"USW00014739","2015-04-27","11.41","0.10","0.0","51","57","45","    1",,,,,,,
"USW00014739","2015-04-28","14.32","0.07","0.0","49","64","42","    1",,,,,,,
"USW00014739","2015-04-29","8.72","0.00","0.0","52","54","48",,,,,,,,
"USW00014739","2015-04-30","8.95","0.00","0.0","50","55","44",,,,,,,,
"USW00014739","2015-05-01","7.83","0.00","0.0","45","49","39",,,,,,,,
"USW00014739","2015-05-02","6.93","0.00","0.0","43","50","39",,,,,,,,
"USW00014739","2015-05-03","8.50","0.00","0.0","53","67","45",,,,,,,,
"USW00014739","2015-05-04","13.20","0.00","0.0","63","84","49",,,,,,,,
"USW00014739","2015-05-05","9.62","0.02","0.0","66","70","54",,,,,,,,
"USW00014739","2015-05-06","9.40","0.00","0.0","61","73","52",,,,,,,,
"USW00014739","2015-05-07","10.51","0.00","0.0","65","79","53",,,,,,,,
"USW00014739","2015-05-08","11.63","0.00","0.0","60","71","46",,,,,,,,
"USW00014739","2015-05-09","7.61","0.00","0.0","51","71","46","    1",,,,,,,
"USW00014739","2015-05-10","13.42","0.00","0.0","71","89","59",,,,,,,,
"USW00014739","2015-05-11","9.62","0.00","0.0","68","80","50","    1",,,,,,,
"USW00014739","2015-05-12","9.17","0.02","0.0","57","87","48","    1","    1",,,,,,
"USW00014739","2015-05-13","14.32","0.00","0.0","64","69","53",,,,,,,,
"USW00014739","2015-05-14","9.40","0.00","0.0","58","69","49",,,,,,,,
"USW00014739","2015-05-15","6.49","0.00","0.0","59","67","48",,,,,,,,
"USW00014739","2015-05-16","7.83","0.00","0.0","61","71","55",,,,,,,,
"USW00014739","2015-05-17","7.83","0.00","0.0","61","67","52","    1","    1",,,,,,
"USW00014739","2015-05-18","10.29","0.00","0.0","53","58","49","    1",,,,,,,
"USW00014739","2015-05-19","9.84","0.27","0.0","56","65","52","    1",,,,,,,
"USW00014739","2015-05-20","13.87","0.00","0.0","61","66","51",,,,,,,,
"USW00014739","2015-05-21","9.62","0.00","0.0","57","67","45",,,,,,,,
"USW00014739","2015-05-22","12.97","0.00","0.0","62","76","52",,,,,,,,
"USW00014739","2015-05-23","13.20","0.00","0.0","56","65","44",,,,,,,,
"USW00014739","2015-05-24","15.66","0.00","0.0","65","83","51",,,,,,,,
"USW00014739","2015-05-25","10.74","0.00","0.0","70","81","58",,,,,,,,
"USW00014739","2015-05-26","16.33","0.00","0.0","73","87","64",,,,,,,,
"USW00014739","2015-05-27","16.11","0.00","0.0","74","85","65",,,,,,,,
"USW00014739","2015-05-28","13.20","0.00","0.0","74","86","64",,,,,,,,
"USW00014739","2015-05-29","8.05","0.00","0.0","67","72","55","    1","    1",,,,,,
"USW00014739","2015-05-30","14.54","0.00","0.0","69","88","58",,,,,,,,
"USW00014739","2015-05-31","13.87","0.91","0.0","67","77","48","    1",,,,,,,
"USW00014739","2015-06-01","13.65","0.38","0.0","48","49","47","    1",,,,,,,
"USW00014739","2015-06-02","11.18","0.74","0.0","47","49","46","    1",,,,,,,
"USW00014739","2015-06-03","6.93","0.00","0.0","50","56","47",,,,,,,,
"USW00014739","2015-06-04","6.26","0.00","0.0","52","58","49",,,,,,,"    1",
"USW00014739","2015-06-05","7.61","0.00","0.0","54","59","50",,,,,,,,
"USW00014739","2015-06-06","6.93","0.09","0.0","58","67","52","    1",,,,,,,
"USW00014739","2015-06-07","10.74","0.00","0.0","59","67","53",,,,,,,,
"USW00014739","2015-06-08","16.55","0.00","0.0","63","76","53",,,,,,,,
"USW00014739","2015-06-09","13.20","0.00","0.0","69","78","64",,,,,,,,
"USW00014739","2015-06-10","10.96","0.00","0.0","71","82","62",,,,,,,,
"USW00014739","2015-06-11","13.65","0.00","0.0","75","88","64",,,,,,,,
"USW00014739","2015-06-12","8.95","0.00","0.0","74","79","65",,,,,,,,
"USW00014739","2015-06-13","8.50","0.00","0.0","73","85","64",,,,,,,,
"USW00014739","2015-06-14","9.62","0.00","0.0","70","74","62",,,,,,,,
"USW00014739","2015-06-15","9.17","0.40","0.0","58","63","54","    1",,,,,,,
"USW00014739","2015-06-16","4.70","0.00","0.0","59","71","56","    1",,,,,,,
"USW00014739","2015-06-17","9.84","0.00","0.0","66","69","59",,,,,,,,
"USW00014739","2015-06-18","10.29","0.00","0.0","65","76","57",,,,,,,,
"USW00014739","2015-06-19","9.62","0.00","0.0","69","86","63",,,,,,,,
"USW00014739","2015-06-20","9.17","0.04","0.0","65","75","58",,,,,,,,
"USW00014739","2015-06-21","6.04","1.72","0.0","66","76","60","    1",,,,,,,
"USW00014739","2015-06-22","5.82","0.00","0.0","66","77","61","    1","    1",,,,,,
"USW00014739","2015-06-23","11.41","0.01","0.0","72","88","60",,,,,,,,
"USW00014739","2015-06-24","11.18","0.00","0.0","76","84","67",,,,,,,,
"USW00014739","2015-06-25","7.16","0.00","0.0","73","81","64",,,,,,,,
"USW00014739","2015-06-26","8.50","0.00","0.0","68","72","59",,,,,,,,
"USW00014739","2015-06-27","7.16","0.20","0.0","63","68","57","    1",,,,,,,
"USW00014739","2015-06-28","17.90","1.43","0.0","59","59","52","    1",,,,,,,
